@relation 'DeathRecords-weka.filters.unsupervised.attribute.Remove-R1-4,6,8,10-18-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute Sex {M,F}
@attribute AgeRecode12 {1,2,3,4,5,6,7,8,9,10,11}
@attribute MaritalStatus {S,W,D,M,U}

@data
M,6,D
F,11,M
M,7,M
M,8,S
F,6,M
M,10,M
F,10,M
M,9,M
M,8,M
M,9,D
F,11,S
M,11,M
M,11,M
F,11,M
F,6,M
F,10,M
M,10,M
M,8,S
F,11,W
M,10,D
M,8,M
F,8,W
M,8,M
M,9,W
F,11,W
F,10,W
M,10,M
M,11,M
F,11,W
M,8,S
M,7,M
M,9,M
M,8,S
F,11,W
M,10,M
F,11,W
M,10,W
F,7,M
F,11,W
M,10,M
F,7,M
M,8,S
F,9,M
F,7,D
M,7,D
M,11,M
F,11,M
F,11,W
F,10,W
M,7,M
M,11,M
F,10,M
M,7,M
F,10,D
M,7,D
F,9,M
F,11,W
M,6,S
M,10,D
M,8,M
F,11,W
F,10,D
F,8,M
M,9,D
F,8,M
M,9,W
F,10,W
M,11,M
M,10,W
F,10,W
F,9,W
M,11,W
M,9,M
M,9,D
F,9,D
M,9,W
F,10,W
M,4,S
M,9,S
F,10,M
M,9,M
M,9,M
F,9,D
M,6,S
F,9,W
M,11,W
M,11,M
M,10,M
F,10,M
M,9,W
F,8,M
F,8,S
M,11,M
M,9,M
F,9,W
M,9,M
F,11,W
F,10,W
F,7,M
M,10,M
M,8,D
F,11,W
M,10,M
F,11,W
F,10,M
F,8,W
F,7,M
F,9,M
M,8,D
M,8,W
M,9,M
F,10,W
F,7,S
M,10,M
M,9,S
M,8,M
F,10,D
F,4,S
F,9,M
M,8,M
M,10,M
M,10,M
F,9,W
M,11,M
F,10,W
M,10,M
M,11,M
F,11,D
M,11,W
M,7,M
M,9,D
M,10,M
F,8,M
F,11,W
M,10,W
M,8,M
M,6,S
F,10,W
M,9,S
F,10,M
M,11,W
M,11,S
M,10,W
F,9,S
F,11,D
F,10,W
F,9,W
M,10,W
M,9,M
M,11,M
M,10,M
F,9,M
F,11,W
F,11,W
F,6,D
M,8,D
F,11,W
M,9,M
M,8,S
F,7,M
F,11,S
M,11,M
F,8,D
M,9,M
F,10,W
F,10,W
M,11,D
M,9,M
F,9,M
F,10,W
M,11,W
F,10,M
F,7,M
F,11,W
F,11,W
F,8,M
M,9,M
M,11,D
M,9,W
M,8,M
F,10,W
F,11,W
F,9,S
M,8,D
F,9,S
M,11,W
M,11,M
F,10,W
F,7,S
F,9,M
M,10,M
F,11,M
F,11,W
F,10,W
M,8,M
F,11,W
F,6,D
F,7,M
M,8,S
M,11,M
M,10,D
M,7,M
M,9,M
F,10,D
F,11,W
M,9,M
M,10,W
F,7,M
M,8,S
F,10,M
F,11,W
M,9,M
F,9,W
F,11,W
M,7,D
M,4,S
F,11,W
F,11,W
M,10,W
F,11,W
M,8,M
M,8,M
M,11,M
M,10,M
F,9,D
F,10,M
F,10,D
F,10,W
F,11,W
M,10,W
M,9,M
M,9,M
M,9,D
M,9,D
M,5,S
F,7,S
F,11,W
M,8,D
M,9,M
M,11,S
F,11,M
M,11,M
M,9,M
F,6,D
M,8,D
F,11,M
M,6,D
M,10,S
F,11,W
M,9,W
M,11,M
M,9,M
F,9,M
M,9,M
F,10,W
M,9,M
F,9,M
F,8,W
M,10,M
M,9,W
F,11,W
F,11,D
F,11,W
M,9,M
F,11,W
M,8,D
M,10,M
F,11,W
M,10,D
M,9,M
M,10,D
M,5,S
F,11,W
M,6,S
M,11,M
F,11,W
M,10,W
M,10,M
M,8,M
M,7,S
F,11,W
M,5,M
F,11,W
M,8,M
F,8,M
F,8,M
F,9,M
M,10,W
M,8,M
F,11,W
M,4,S
F,11,W
M,9,M
M,6,S
F,10,W
M,8,S
F,8,D
F,7,M
M,10,W
M,9,D
F,10,M
F,9,M
F,11,W
F,8,S
M,9,S
F,11,W
M,10,W
M,9,D
M,9,M
M,4,S
F,11,W
M,11,M
M,10,M
F,8,M
F,9,M
M,11,M
M,9,M
M,8,M
F,11,W
M,8,S
F,9,M
F,11,W
M,11,M
M,9,M
F,10,M
F,11,W
F,11,D
M,9,D
F,10,W
F,11,D
F,11,W
M,10,D
F,9,M
F,11,W
M,10,W
M,8,M
M,8,M
F,9,D
M,7,M
F,7,S
M,9,M
M,9,M
M,10,W
M,9,M
F,11,M
M,9,D
M,11,M
M,7,D
M,8,S
F,7,M
M,11,M
M,11,M
F,7,M
M,10,W
M,9,M
M,8,D
M,10,D
F,9,W
F,10,M
M,11,S
F,9,W
M,11,W
M,10,M
F,10,M
F,10,D
F,11,W
F,8,M
F,11,W
M,8,M
F,7,W
M,9,D
F,9,D
M,8,M
F,9,W
M,8,S
F,9,D
F,8,M
M,8,D
F,7,M
F,11,W
F,6,M
F,8,W
M,8,D
M,8,S
F,11,W
F,9,M
M,7,M
F,7,D
M,11,M
M,11,W
M,8,D
M,9,M
F,8,D
F,10,M
F,10,W
F,11,S
M,10,W
M,9,M
F,11,W
M,9,M
F,10,W
F,7,M
F,10,M
F,11,W
M,7,W
M,8,D
F,8,D
M,8,D
M,10,M
F,10,W
M,11,D
M,10,M
F,9,W
F,8,M
M,11,D
M,8,M
M,9,M
F,10,W
F,11,W
M,10,M
F,11,M
M,7,D
M,9,M
M,11,W
F,11,W
F,11,W
M,10,M
F,11,W
M,10,M
M,7,M
F,8,W
M,10,M
F,9,W
M,8,D
F,11,W
F,10,D
M,11,M
F,8,D
M,10,M
M,8,M
F,11,W
F,10,W
F,8,M
M,8,M
M,11,M
M,10,M
M,11,D
M,11,W
M,10,W
M,7,M
F,11,W
F,10,S
M,6,D
M,9,D
F,11,W
F,9,D
M,7,D
M,10,M
F,11,W
F,9,M
F,11,W
M,9,M
M,11,M
F,10,W
F,11,W
M,11,M
F,11,W
F,8,W
M,11,W
F,5,S
F,4,S
F,10,W
F,10,W
M,10,W
M,8,M
F,11,W
F,9,W
M,8,M
F,10,W
F,7,M
M,9,D
M,11,M
F,5,M
M,5,S
M,8,M
M,8,M
M,11,M
M,10,W
M,10,M
M,8,M
F,11,M
F,10,W
F,9,W
F,11,W
M,11,W
F,10,M
F,5,M
F,9,M
F,11,W
M,11,M
M,10,S
M,9,M
F,8,M
M,11,D
M,10,M
F,9,W
M,10,M
F,11,W
M,8,S
M,11,M
M,11,M
M,10,M
M,11,M
M,10,M
F,10,S
M,10,W
F,10,W
M,10,M
M,10,W
F,10,D
F,10,M
M,8,M
M,9,D
M,4,S
M,7,S
M,11,M
F,10,W
M,10,M
F,10,W
F,11,W
M,10,W
M,11,M
F,10,W
M,8,M
F,7,M
F,9,W
M,9,M
M,10,D
F,10,W
F,11,W
F,9,D
F,7,D
M,11,W
M,11,W
M,10,M
F,9,M
M,10,M
M,10,M
F,7,D
M,10,M
M,8,M
F,8,M
F,11,W
F,11,W
M,7,S
M,7,M
M,8,M
M,9,M
F,11,D
M,10,W
M,10,M
F,7,S
M,10,W
F,10,M
M,8,D
M,8,M
M,9,M
F,11,W
M,11,M
M,11,M
F,11,D
M,9,M
M,9,M
M,10,M
M,9,M
M,9,M
F,6,M
F,10,W
F,7,D
M,9,D
F,6,S
M,10,W
M,10,W
F,9,W
F,8,D
F,6,S
F,11,D
M,8,D
M,9,M
M,10,W
M,7,S
M,10,W
F,10,M
M,11,M
F,10,W
F,11,W
M,10,M
M,8,D
M,9,M
F,10,W
M,6,D
F,7,S
M,9,M
M,8,M
M,10,W
M,9,S
M,8,M
F,10,M
M,9,M
F,11,W
F,9,M
M,7,M
F,10,D
M,8,S
M,10,M
M,8,M
M,10,D
M,8,W
M,8,M
F,10,M
F,11,W
F,9,W
F,11,W
F,10,M
F,8,M
F,8,M
F,11,M
F,8,W
M,11,W
M,9,S
F,10,W
M,11,W
F,11,W
F,10,M
M,9,M
F,9,M
F,10,M
M,11,W
F,11,D
M,9,M
F,7,M
F,11,W
F,7,M
M,9,M
F,11,W
F,10,D
M,10,M
M,8,M
M,10,M
F,11,W
F,11,W
M,8,M
F,11,W
M,11,M
M,11,M
F,11,W
F,8,W
F,4,M
F,11,M
F,8,D
F,11,W
M,10,S
F,9,W
F,11,W
F,11,W
M,10,W
F,9,D
F,9,M
M,9,M
M,8,M
M,10,M
F,11,W
F,9,D
M,11,M
F,4,S
F,11,W
F,8,D
F,5,D
M,7,M
M,11,S
M,8,M
F,8,D
M,10,W
M,10,S
F,11,W
F,9,M
F,11,W
M,11,W
F,10,W
M,10,M
F,11,W
F,11,M
M,8,M
M,11,W
M,7,S
M,9,M
M,9,W
M,9,S
F,10,M
F,9,M
F,8,M
F,10,D
M,4,S
F,10,W
M,7,M
M,11,M
M,9,M
F,8,W
M,11,M
M,9,M
F,9,D
F,9,W
M,6,S
M,9,W
M,11,M
M,10,W
F,11,W
F,7,M
M,10,D
F,6,S
F,11,W
F,9,M
M,9,M
M,8,D
M,11,M
M,8,W
M,9,M
M,9,M
M,7,M
M,6,S
F,10,W
F,7,M
F,11,M
M,8,S
M,8,M
F,11,W
F,11,W
F,11,W
M,10,M
M,11,M
M,8,D
F,9,M
M,6,S
M,7,M
M,10,M
M,11,W
F,9,M
F,11,W
F,10,W
F,8,M
F,8,M
F,11,W
F,11,W
M,8,M
M,5,S
F,9,D
F,11,W
M,11,W
F,10,D
M,11,M
F,11,W
F,8,M
F,11,W
F,8,M
F,10,M
M,11,W
F,11,W
F,11,W
F,11,W
M,11,W
M,10,M
M,10,M
M,9,M
F,9,M
M,9,M
M,6,D
M,7,M
F,10,W
M,11,M
M,8,M
M,9,M
M,10,M
M,9,M
F,9,M
F,11,W
M,10,M
M,9,D
F,11,W
F,11,W
F,11,D
F,9,M
F,11,W
M,9,M
M,8,M
F,7,M
M,9,D
M,9,S
M,8,D
M,8,M
M,10,W
M,8,S
F,9,D
F,10,M
F,11,D
M,9,D
M,6,D
M,11,W
M,5,M
F,9,W
M,11,W
M,8,M
F,10,S
F,10,W
M,8,S
M,10,M
F,11,D
M,10,M
F,11,W
M,3,S
F,11,W
M,6,M
F,9,M
M,8,M
M,10,W
F,8,M
F,8,M
F,8,W
M,7,D
M,10,D
M,8,U
F,10,D
F,7,M
M,10,D
F,9,W
F,8,W
F,11,W
F,10,S
M,10,W
F,9,W
M,8,W
F,11,W
F,11,W
F,7,D
M,10,D
F,8,M
M,8,D
M,7,D
M,7,M
F,11,W
F,11,W
M,11,W
M,9,W
M,10,W
M,10,M
M,11,M
F,11,W
M,7,D
F,7,D
M,5,S
F,11,W
M,11,S
M,9,M
M,11,M
F,11,W
M,7,D
F,6,W
F,10,S
M,9,M
F,11,W
F,9,S
F,8,W
M,8,W
F,11,W
F,11,W
M,7,D
F,11,S
M,7,M
M,10,M
F,11,W
M,10,M
F,9,D
F,11,W
F,10,W
F,9,W
M,8,M
M,9,D
M,11,W
F,11,W
F,11,W
M,9,S
F,7,D
F,11,W
M,8,M
M,5,M
F,9,D
M,10,M
F,11,D
F,11,W
F,9,W
M,7,S
F,11,W
M,10,M
F,9,W
F,8,M
F,9,W
F,9,M
F,11,W
F,8,D
F,5,S
M,10,W
F,8,S
F,10,M
M,9,M
F,8,M
M,9,M
F,8,W
F,8,S
M,7,D
F,10,S
F,11,M
F,11,W
M,10,D
M,8,M
F,7,W
F,11,W
F,11,W
F,9,S
F,10,W
F,11,W
F,8,M
F,10,W
M,7,S
F,7,M
F,9,M
M,10,W
M,11,D
F,11,W
M,6,S
M,9,D
F,10,W
F,11,D
M,11,W
F,9,M
M,11,M
M,10,M
F,9,M
F,10,W
F,11,W
M,7,M
F,11,W
M,11,M
F,11,W
M,7,M
M,11,W
F,8,M
F,11,W
F,11,M
F,9,M
M,7,S
M,10,M
M,10,W
M,9,W
M,7,M
F,9,W
F,10,W
M,9,M
F,8,D
M,10,M
F,11,W
F,10,M
M,10,M
F,8,S
F,8,W
M,4,M
F,10,M
F,7,D
M,7,S
M,10,W
M,9,M
M,10,M
M,9,S
M,9,W
F,11,W
M,3,S
M,9,W
M,11,M
M,8,M
F,10,M
F,9,W
F,11,M
F,11,W
M,11,M
M,10,M
M,8,S
F,11,W
F,11,D
F,9,W
F,11,W
F,9,D
M,9,M
F,11,W
M,9,W
M,8,D
F,10,D
F,8,M
M,11,M
M,8,M
M,6,M
M,5,D
F,11,W
F,10,W
F,11,W
F,10,W
F,11,W
F,10,W
F,11,W
M,11,W
F,10,W
F,10,W
F,10,W
M,9,M
F,11,D
M,8,D
F,9,M
M,9,M
F,7,M
M,9,M
F,10,M
F,10,S
F,10,W
F,10,S
F,11,W
F,8,M
M,11,W
M,9,M
F,11,W
F,11,W
F,11,W
F,10,W
F,10,M
M,9,W
M,6,S
F,10,M
M,10,M
M,8,S
F,9,M
F,11,W
F,11,W
F,10,W
M,9,M
F,9,M
F,7,M
M,8,M
F,11,W
M,6,M
F,6,M
F,10,M
F,11,W
F,10,W
F,8,M
F,11,W
M,8,M
F,10,W
M,6,M
F,10,W
F,11,M
M,7,D
M,11,W
F,11,W
F,7,M
F,5,S
F,10,D
M,10,W
M,10,D
M,10,W
M,11,M
M,9,M
M,10,M
F,11,W
M,9,S
F,11,S
M,8,M
M,8,W
M,10,M
M,10,M
F,11,W
M,6,M
M,10,W
M,9,M
F,10,W
F,8,U
F,8,D
F,5,D
F,10,M
F,11,W
M,10,M
M,8,D
M,9,W
M,10,W
M,7,M
F,11,W
F,8,M
F,11,M
F,9,M
M,10,M
F,11,W
M,11,W
F,9,D
M,10,M
F,11,W
M,10,D
F,9,M
M,10,M
M,10,M
M,9,M
M,9,D
F,6,M
F,11,W
F,6,M
F,10,W
M,11,W
F,11,M
F,10,D
M,11,M
F,10,W
F,9,D
F,9,M
M,10,M
M,10,W
M,10,M
F,8,D
M,10,W
M,5,M
F,6,M
M,9,M
M,10,M
F,10,W
F,10,M
F,11,W
M,10,M
F,11,W
M,10,M
F,11,W
M,8,M
F,9,D
M,4,S
F,7,M
F,11,W
F,7,M
F,11,W
F,7,M
F,10,M
F,8,M
F,8,M
F,10,M
F,9,M
F,10,W
F,5,S
F,11,W
M,10,M
M,9,D
M,11,M
F,11,W
M,8,M
M,9,S
M,10,M
M,11,W
F,9,D
F,11,W
M,9,W
M,9,D
M,9,D
M,10,M
M,8,M
M,6,S
M,9,M
M,10,W
F,8,M
M,9,M
F,7,W
F,11,W
F,11,W
M,8,M
M,6,D
F,8,D
M,10,M
F,8,M
F,9,M
M,10,M
M,9,D
F,10,M
M,10,M
M,11,M
M,11,M
F,10,M
F,10,W
M,11,M
F,10,W
M,10,M
F,11,W
M,10,M
F,11,W
F,11,W
M,9,W
F,11,W
M,10,M
M,9,S
F,10,W
M,8,S
F,7,S
F,9,D
M,8,M
M,8,D
M,10,M
F,11,W
M,9,D
M,10,M
F,8,D
M,10,S
F,11,W
M,9,M
M,8,M
F,11,M
F,10,W
M,9,D
F,11,W
M,9,D
M,8,M
M,9,D
F,7,S
M,10,M
F,8,M
M,11,M
F,11,M
M,6,M
M,9,W
M,10,M
F,11,W
M,11,D
M,7,D
M,11,D
F,8,W
M,10,M
F,8,M
F,7,D
M,10,D
F,11,W
M,6,S
M,11,W
F,11,W
M,7,M
F,11,W
F,8,W
F,11,M
F,10,W
F,10,M
M,8,M
M,9,M
M,8,D
M,11,W
F,9,S
F,8,D
M,10,M
F,9,M
F,10,W
M,8,M
M,8,M
M,8,D
M,8,D
F,11,W
F,11,W
F,8,D
M,9,M
M,11,M
M,10,W
F,7,D
F,11,W
F,10,W
M,6,D
M,11,W
F,10,W
M,11,M
F,10,M
M,10,W
M,9,D
M,8,M
M,7,S
F,9,W
F,11,W
M,11,W
M,8,D
F,11,W
M,7,M
M,9,M
M,10,S
F,11,M
M,9,M
M,5,S
M,7,S
F,10,W
F,11,W
F,11,W
M,9,M
M,6,D
M,10,M
M,11,W
F,9,W
F,11,W
M,10,W
M,9,M
M,8,D
F,9,S
M,11,W
M,9,M
F,10,W
M,6,D
M,9,M
F,7,M
M,7,D
M,9,D
F,7,M
M,8,S
M,11,W
F,10,W
M,7,M
M,10,M
F,7,D
F,9,D
F,10,W
M,10,M
F,7,D
M,9,M
M,8,M
F,11,W
F,10,M
M,5,M
M,6,M
F,6,D
M,9,M
M,9,M
F,9,W
F,9,M
M,11,M
M,10,M
F,10,W
M,11,W
F,10,W
M,11,S
M,10,W
M,9,M
F,10,D
M,10,M
F,10,S
M,9,D
F,11,W
M,10,W
M,8,M
M,8,M
M,7,M
F,9,M
F,8,M
F,11,W
F,10,W
M,9,M
M,9,M
M,7,S
M,10,M
M,10,W
F,11,W
M,11,M
M,10,M
F,10,W
M,11,W
F,10,W
M,11,M
F,11,W
F,4,S
F,11,W
M,10,M
M,10,M
M,9,M
F,10,W
F,11,W
F,10,M
M,10,M
M,8,D
M,10,M
M,11,W
F,9,W
F,9,D
F,11,W
F,9,M
F,11,W
M,11,D
F,9,D
M,10,W
F,9,W
M,4,S
M,8,M
M,10,M
M,7,M
F,10,M
M,9,D
F,11,W
M,6,U
F,11,W
M,11,D
F,10,D
M,10,W
M,9,W
M,6,S
F,11,D
F,9,W
M,11,M
M,10,M
M,7,D
M,9,M
F,10,D
M,4,S
F,7,M
F,9,M
M,5,D
F,10,W
M,10,M
M,9,M
F,10,W
F,6,M
F,7,M
F,7,M
M,11,M
M,7,D
F,9,D
M,8,W
F,11,W
M,10,M
F,11,W
F,11,M
M,9,M
M,10,M
F,9,W
M,11,W
F,11,W
F,7,D
F,10,M
F,11,W
M,10,M
F,10,M
M,8,M
M,10,M
F,7,D
F,11,S
F,11,W
M,11,M
M,10,M
M,8,S
M,8,D
F,9,W
F,11,D
M,10,D
F,11,W
F,7,M
M,8,D
M,8,M
M,11,M
F,11,W
F,11,W
M,11,M
M,8,M
F,11,W
F,8,S
M,11,M
F,7,M
M,4,S
F,9,W
M,8,M
F,8,D
M,9,W
M,10,M
M,8,M
F,10,W
M,8,D
F,9,M
M,9,D
F,8,M
M,7,M
F,6,M
F,11,D
F,11,W
M,9,W
F,7,D
F,11,W
F,8,D
F,6,M
F,10,W
F,8,M
M,9,M
M,11,W
F,11,W
M,10,M
F,11,W
M,8,D
F,10,W
M,11,M
M,7,M
F,8,S
F,10,W
F,4,S
M,11,M
M,10,M
M,10,D
F,11,D
M,10,M
F,8,M
F,9,D
M,10,M
F,10,W
F,11,M
F,11,W
F,8,D
M,10,D
M,8,M
M,9,M
M,7,D
F,11,D
F,11,W
F,9,W
F,6,M
F,6,M
F,10,W
M,8,M
F,9,M
M,10,D
F,9,M
M,10,M
F,7,S
M,10,M
M,11,W
F,6,D
M,8,D
M,7,D
M,8,W
F,8,M
M,6,M
F,9,D
M,10,W
M,9,M
F,10,W
F,10,M
F,10,M
F,9,W
M,8,D
F,10,W
M,10,M
F,8,M
F,10,D
M,9,W
M,8,W
M,4,S
M,10,M
F,11,W
M,10,W
M,4,S
M,10,M
M,9,W
M,8,M
F,6,M
F,9,D
M,7,D
M,9,M
F,10,W
M,11,W
M,10,W
M,8,M
F,10,D
M,10,M
F,11,W
F,10,M
M,11,M
F,11,W
M,11,M
M,7,D
M,10,M
M,10,M
F,10,W
F,11,W
M,10,W
F,10,W
F,6,M
F,2,S
F,8,D
M,10,M
M,10,M
F,11,W
F,11,W
M,11,M
F,10,W
M,10,M
M,11,M
M,9,D
M,11,W
M,11,M
F,9,D
M,7,M
F,9,D
M,11,W
F,11,S
F,9,W
F,11,W
M,10,M
F,7,M
M,8,D
M,11,M
F,10,W
M,10,M
F,11,W
F,11,W
F,6,D
M,11,M
M,10,M
F,9,W
M,11,M
F,11,W
M,10,M
M,11,S
F,9,M
F,9,D
M,10,W
M,10,W
M,11,W
M,7,D
F,9,S
M,8,D
F,11,W
M,9,M
M,9,D
M,10,S
M,8,D
F,10,W
M,11,W
F,8,W
M,9,D
M,9,D
F,8,M
M,9,D
M,8,D
F,7,M
F,10,W
F,9,D
M,9,D
M,11,W
F,8,S
M,7,M
M,11,W
M,11,M
F,10,W
M,11,W
M,11,W
M,9,D
F,8,M
F,9,W
F,10,M
M,9,W
M,9,M
M,11,W
F,11,W
M,8,D
F,10,D
M,11,W
M,10,M
M,11,M
M,11,M
M,10,M
F,7,D
F,10,D
M,10,D
M,10,W
M,8,D
F,8,W
F,10,M
M,10,W
F,10,W
F,10,M
F,10,M
F,11,W
F,9,W
F,11,W
F,9,M
F,11,W
F,10,D
F,9,W
F,9,M
M,9,D
M,10,W
M,7,D
M,7,M
M,9,W
F,10,W
M,11,W
F,9,W
F,11,W
M,8,W
F,9,D
F,10,M
M,11,W
F,10,W
F,11,W
M,7,D
F,11,W
F,10,W
M,6,S
M,9,D
F,10,W
F,10,W
F,11,W
M,9,D
F,9,D
F,11,W
F,9,W
M,8,D
F,5,S
M,8,S
M,9,D
M,8,S
M,10,S
F,11,W
M,8,M
F,11,W
F,11,S
F,9,W
M,7,D
F,11,W
M,9,M
F,9,M
F,10,W
M,8,D
F,9,M
M,10,W
F,10,D
F,5,S
F,9,M
M,9,M
F,11,W
M,10,S
F,9,S
M,9,M
F,11,W
F,7,D
F,11,W
F,11,W
M,11,W
M,10,W
M,11,W
F,11,W
M,10,W
M,4,S
F,9,M
M,7,M
F,10,M
F,8,D
M,8,M
M,11,W
F,10,W
F,9,M
M,8,M
M,8,S
F,9,W
M,9,M
M,8,M
F,10,W
M,10,M
M,10,M
F,9,M
M,11,W
F,9,W
M,9,M
M,10,W
M,10,M
M,10,M
M,9,M
F,11,W
M,5,S
F,11,W
M,11,M
M,6,S
F,11,W
M,11,W
M,10,M
F,9,W
M,5,D
M,10,M
M,9,M
M,11,D
M,11,W
M,8,D
F,11,M
M,7,S
M,11,M
F,10,W
F,10,D
F,10,W
F,11,W
F,11,W
F,6,M
M,10,M
F,10,W
F,9,D
F,8,M
M,8,D
M,10,W
M,10,S
M,5,D
M,11,M
M,10,M
F,10,W
M,10,M
M,10,W
F,11,W
F,11,W
M,11,M
M,10,W
M,11,M
M,8,M
F,8,D
M,11,W
F,11,W
M,8,W
M,10,M
F,9,M
M,8,M
M,6,M
F,10,W
M,9,M
F,8,M
M,10,M
M,10,D
F,10,M
M,11,M
M,10,W
M,10,D
M,8,M
F,10,W
F,8,D
M,9,M
F,10,D
F,10,W
M,8,W
F,8,M
F,6,M
M,10,M
F,10,W
M,10,M
M,9,D
M,10,W
M,9,M
M,9,M
M,8,S
M,8,M
M,9,M
M,10,M
F,9,M
F,10,D
F,10,W
F,9,W
F,10,W
M,9,M
F,8,M
F,8,M
M,10,W
F,6,M
F,11,W
F,8,D
M,10,W
F,8,M
F,11,W
F,10,M
F,9,S
M,10,M
M,9,M
M,8,U
M,8,M
M,11,M
F,9,S
F,5,S
M,11,W
M,7,M
F,10,D
F,10,M
F,11,W
F,10,W
F,10,M
F,11,W
M,10,W
F,4,S
F,11,W
F,11,D
M,9,D
M,8,S
F,11,W
F,10,D
F,7,M
M,9,W
M,9,M
M,9,D
M,11,W
F,8,S
M,8,D
M,8,D
F,8,M
M,8,W
M,9,D
M,9,M
M,7,D
M,9,M
M,6,D
F,9,W
F,10,W
M,7,S
M,9,W
M,9,M
M,11,W
M,11,M
M,11,D
M,9,M
M,10,W
F,11,W
F,10,W
F,8,S
M,10,M
M,9,W
M,10,W
F,9,M
F,5,S
M,8,S
F,7,S
M,10,M
F,9,W
F,11,W
M,8,W
M,10,W
M,7,S
M,8,M
M,5,S
M,8,D
F,10,W
M,11,S
F,8,M
F,6,S
M,9,W
F,11,W
F,10,M
M,7,M
M,8,D
F,11,W
F,11,W
M,8,S
F,7,M
M,10,M
F,10,M
F,11,W
F,10,W
M,6,S
M,10,W
M,11,W
F,10,D
M,10,M
M,9,M
F,11,W
M,8,W
F,11,W
F,8,M
F,9,M
M,11,M
M,8,S
M,10,M
F,11,S
M,8,S
F,7,M
F,7,D
M,11,M
M,10,M
M,11,W
M,4,S
F,9,W
M,11,W
F,11,W
M,10,M
M,11,M
F,11,W
F,11,W
M,10,M
M,10,W
F,4,S
M,11,S
F,10,M
M,10,M
M,11,S
F,11,W
F,9,W
F,11,W
F,7,D
M,8,W
M,5,U
F,10,M
M,5,S
M,8,M
F,10,W
M,11,M
M,9,M
F,7,M
F,11,D
M,9,D
F,11,W
M,9,W
F,11,W
M,10,D
M,10,W
M,11,M
F,8,M
F,11,W
M,6,S
F,5,S
F,7,D
F,9,W
M,8,S
M,10,W
F,7,W
M,10,M
M,8,M
F,10,W
M,9,W
F,11,W
F,9,W
M,8,D
M,10,M
F,10,W
F,10,M
M,10,D
F,11,W
F,11,W
F,8,M
M,5,M
M,10,M
M,10,M
M,9,M
M,10,D
M,9,M
F,10,W
M,11,W
M,9,M
M,10,U
F,8,M
M,10,M
F,8,M
F,10,W
F,10,M
F,11,W
M,10,W
M,8,M
M,11,M
M,9,M
M,4,S
M,7,S
M,7,S
F,9,M
F,9,W
F,9,M
M,10,W
F,11,W
F,7,D
F,11,W
F,11,W
M,10,M
M,11,W
M,9,D
F,7,D
M,10,M
F,11,W
F,11,W
M,9,M
M,9,M
M,7,M
F,8,M
M,8,M
M,10,M
F,11,W
M,11,M
M,11,M
M,11,W
M,7,W
F,10,S
F,11,W
F,11,W
F,11,W
M,10,M
M,10,M
F,10,W
F,9,W
M,11,M
M,9,D
M,7,M
M,9,M
F,10,W
F,11,W
M,9,W
M,8,M
F,9,D
M,11,W
M,10,M
M,10,W
F,11,M
M,10,M
F,11,W
M,10,M
M,9,M
M,10,M
F,10,W
M,9,M
M,9,S
M,10,M
M,11,M
F,10,W
F,11,W
M,10,M
M,10,M
F,11,W
M,11,M
F,11,D
M,10,D
F,11,W
F,6,S
F,10,M
M,8,S
F,6,D
M,8,S
F,11,W
M,10,W
F,8,D
F,11,W
F,11,W
F,11,W
M,10,W
F,10,M
F,9,W
F,11,W
M,10,M
F,11,W
M,10,M
M,11,M
F,9,W
F,6,S
M,9,M
M,10,D
M,5,S
M,11,W
F,7,W
M,9,W
F,10,M
F,9,S
F,10,W
F,11,W
M,10,D
M,9,D
M,7,D
M,10,D
M,9,D
F,10,M
M,10,M
M,5,D
M,5,S
M,10,M
M,2,S
M,4,M
M,10,W
F,7,M
F,7,D
F,10,W
F,11,W
M,4,S
M,8,D
F,10,M
F,11,W
M,10,M
F,11,W
M,11,W
F,9,M
F,10,W
M,7,D
M,4,S
F,10,W
F,8,M
M,5,M
M,11,M
M,10,W
F,8,M
F,9,M
M,11,W
F,11,W
F,9,M
M,11,W
M,7,D
F,10,D
F,11,S
F,11,M
F,11,W
F,10,M
M,11,W
F,10,W
M,9,M
M,9,S
F,10,W
F,7,D
F,6,D
F,10,W
M,9,W
M,10,W
M,11,W
F,8,S
M,4,S
F,9,S
F,8,M
M,11,W
F,11,W
M,9,M
F,10,M
M,8,M
F,11,W
M,9,S
F,11,W
M,6,S
F,5,M
F,9,S
F,8,M
F,11,W
M,9,M
M,11,W
M,9,M
F,11,W
F,9,D
M,11,M
M,10,W
M,9,D
F,11,D
M,10,M
M,8,M
M,9,D
M,8,M
M,9,M
M,9,W
F,6,S
F,11,W
F,8,M
M,8,S
F,11,W
M,8,M
F,10,D
M,9,S
F,9,M
M,10,M
M,8,S
M,11,M
M,7,D
M,11,M
F,11,W
F,11,W
F,8,W
F,8,D
F,11,W
F,10,D
F,8,M
M,8,D
M,10,M
F,10,W
F,6,S
F,8,M
F,11,W
F,11,W
F,11,W
M,10,W
F,8,M
F,10,M
M,7,M
F,8,M
F,10,M
M,7,D
M,9,M
F,9,M
F,5,M
M,7,M
M,9,M
M,9,W
M,9,W
M,9,W
M,11,M
F,10,M
F,7,M
M,8,M
M,10,M
M,8,S
M,11,W
F,6,D
M,8,D
F,9,M
M,9,D
M,10,W
M,8,M
F,10,W
F,10,W
